id,question,A,B,C,D,answer
4,"Một khung dây dẫn phẳng tiết diện hình chữ nhật ABCD có kích cỡ AB = 30cm, BC = 20 cm, gồm 200 vòng dây và điện trở tổng cộng là 3Ω. Khung chuyển động tịnh tiến với vận tốc 1,2 m/s vào vùng không gian có từ trường đều có các đường sức từ vuông góc với mặt phẳng khung như hình vẽ bên dưới. Biết B  = 0,05T. Tính cường độ dòng điện cảm ứng xuất hiện trong khung dây trong khoảng thời gian kể từ khi cạnh BC của khung bắt đầu gặp từ trường đều cho đến khi toàn bộ khung vừa vặn nằm lọt trong từ trường là bao nhiêu Ampe ? (Kết quả làm tròn đến một chữ số có nghĩa).
Sử dụng các thông tin sau cho Câu 5 và Câu 6: Đồng vị phóng xạ  xenon  được sử dụng trong phương pháp nguyên tử đánh dấu của y học hạt nhân khi kiểm tra chức năng và chẩn đoán các bệnh về phổi. Mỗi hạt nhân xenon  phân rã tạo thành một hạt nhân cesium, một hạt  và một hạt . Chu kì bán rã của xenon  là . Một mẫu khí chứa xenon  được sản xuất tại nhà máy có độ phóng xạ . Mẫu đó được vận chuyển về bệnh viện và sử dụng cho bệnh nhân sau đó",,,,,"Đáp án: B
nhiệt độ sôi của nước là 100 0C đổi ra T = 100 + 273 = 373K"
5,Hạt nhân cesium có bao nhiêu neutron?,,,,,"Đáp án: A
suy ra V2 = 415 cm3"
6,Độ phóng xạ của mẫu xenon  khi bệnh nhân sử dụng là . Tìm  (làm tròn kết quả đến chữ số hàng phần trăm).,,,,,"Đáp án: D
V1 > V2"
1,Quá trình chuyển từ thể rắn sang thể khí gọi là quá trình,thăng hoa.,nóng chảy,ngưng tụ.,đông đặc.,"Đáp án: 
Hướng dẫn
Tổng chiều dài của các phân tử Oxi là"
2,Biển báo nào không phải là biển báo nhận diện nguồn phóng xạ?,hình (b).,hình (c).,hình (d).,hình (a).,"Đáp án: 
Giải
Thông tin sau đây được dùng cho Câu 3 và Câu 4. Một electron chuyển động trong từ trường  T chỉ do tác dụng của lực từ, theo một đường tròn có bán kính 0,91 m. Biết lực từ tác dụng lên electron có độ lớn là và"
3,Biểu thức nào sau đây là đúng khi biến đổi nhiệt độ từ thang Celsius sang thang Kelvin,,,,,"Đáp án: 
"
4,"Một ấm đun nước bằng nhôm có có khối lượng 400 g, chứa 3 lít nước được đun trên bếp. Khi nhận được nhiệt lượng 740 kJ thì ấm đạt đến nhiệt độ. Hỏi nhiệt độ ban đầu của ấm, biết cAl = 880 J/kg. K, .","8,15","8,15 K","22,7","22,7 K","Đáp án: 
a. Phát biểu này đúng.
b. Phát biểu này đúng.
c. Phát biểu này sai.
Số hạt nhân Uranium ban đầu:
hạt.
Số hạt nhân Uranium còn lại sau  năm:
hạt.
d. Phát biểu này đúng.
Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó
Suy ra
PHẦN III. Thí sinh trả lời từ câu 1 đến câu viết đáp số theo quy định viết số chữ số"
5,Trong quá trình chất khí nhận nhiệt và sinh công thì Q và A trong biểu thức phải có giá trị:,và,,Q > 0 và A < 0,,"Đáp án: 
A = (182.107.365.3600).0,3 1,91.1017 J"
6,"Khi ấn pittông từ từ xuống để nén khí trong xilanh, thì thông số nào của khí trong xilanh thay đổi?",Nhiệt độ khí giảm,Áp suất khí tăng,Áp suất khí giảm,Khối lượng khí tăng,"Đáp án: 
Số hạt U cần cung cấp là (1,91.1017)/(200.1,6.10-13)5,97.1027 hạt
Khối lượng được tiêu thụ là (5,97.1027.235)/(6,02.1023)2330 kg
BẢNG PHÂN TÍCH CÁC CÂU HỎI TRONG ĐỀ ĐI KÈM VỚI BA THÀNH PHẦN NĂNG LỰC:
NHẬN THỨC VẬT LÍ, TÌM HIỂU THẾ GIỚI TỰ NHIÊN DƯỚI GÓC ĐỘ VẬT LÍ, VÀ VẬN DỤNG KIẾN THỨC, KĨ NĂNG ĐÃ HỌC. MỖI THÀNH PHẦN SẼ ĐƯỢC PHÂN LOẠI THEO MỨC ĐỘ HIỂU, BIẾT, VÀ VẬN DỤNG.
Phân tích thành phần năng lực:"
7,Phát biểu nào sau đây là của định luật Charles ?,"Ở áp suất không đổi, thể tích của một khối lượng khí xác định tỉ lệ nghịch với nhiệt độ tuyệt đối của nó.","Ở áp suất không đổi, thể tích của một khối lượng khí xác định tỉ lệ thuận với nhiệt độ tuyệt đối của nó.","Ở áp suất không đổi, thể tích của một khối lượng khí xác định tăng khi nhiệt độ tuyệt đối của nó giảm.","Ở áp suất không đổi, thể tích của một khối lượng khí xác định giảm với nhiệt độ tuyệt đối của nó tăng.","Đáp án: 
"
8,"Cho biết khối lượng riêng của không khí ở điều kiện chuẩn (nhiệt độ 273 K, áp suất ) là 1,29 . Trong một căn phòng có thể tích  khi ta tăng nhiệt độ của phòng từ 280 K ở áp suất  đến nhiệt độ 300 K với áp suất  thì khối lượng khí thoát ra khỏi phòng là bao nhiêu ?","0,36 kg.","0,29 kg.","0,4 kg.","0,25 kg.","Đáp án: 
"
9,Sóng điện từ là quá trình lan truyền của điện từ trường biến thiên trong không gian. Khi nói về quan hệ giữa điện trường và từ trường của điện từ trường trên thì kết luận nào sau đây là đúng?,Véctơ cường độ điện trường và cảm ứng từ cùng phương và cùng độ lớn.,"Tại mỗi điểm của không gian, điện trường và từ trường luôn luôn dao động ngược pha.","Tại mỗi điểm của không gian, điện trường và từ trường luôn luôn dao động lệch pha nhau π/2.",Điện trường và từ trường biến thiên theo thời gian với cùng chu kì.,"Đáp án: 
Phân tích thành phần năng lực (Hiểu, biết, vận dụng)
Phần 2: Dạng đúng/sai"
10,"Một khung dây dẫn phẳng quay đều với tốc độ góc  quanh một trục cố định nằm trong mặt phẳng khung dây, trong một từ trường đều có vecto cảm ứng từ vuông góc với trục quay của khung. Suất điện động cảm ứng trong khung có biểu thức: (V). Tại thời diểm , vecto pháp tuyến của mặt phẳng khung dây hợp với vecto cảm ứng từ một góc",,,,,"Đáp án: 
"
11,Một máy biến áp có cuộn sơ cấp gồm 3300 vòng dây. Mắc cuộn sơ cấp vào mạng điện xoay chiều có hiệu điện thế hiệu dụng 220 V thì ở hai đầu cuộn thứ cấp để hở có một hiệu điện thế hiệu dụng 12 V. Bỏ qua hao phí của máy biến áp. Số vòng dây của cuộn thứ cấp bằng,360 vòng.,180 vòng.,120 vòng.,90 vòng.,"Đáp án: 
"
12,Trong hình vẽ đoạn dòng điện MN đặt trong mặt phẳng chứa các đường sức từ của một từ trường đều ở các vị trí khác nhau. Độ lớn lực từ tác dụng lên đoạn dòng điện MN trong hình nào bé nhất?,Hình 4.,Hình 3.,Hình 2.,Hình 1.,"Đáp án: 
Phần 3: Bài tập áp dụng"
13,Tính chất cơ bản của từ trường là gây ra,Sự biến đổi về tính chất điện của môi trường xung quanh.,Lực điện trường tác dụng lên các dòng điện và nam châm đặt trong nó.,Lực hấp dẫn lên các vật đặt trong nó.,Lực từ tác dụng lên nam châm hoặc lên dòng điện đặt trong nó.,"Đáp án: 
"
14,Tia nào sau đây có cùng bản chất với tia tử ngoại?,Tia .,Tia .,Tia .,Tia .,"Đáp án: 
"
15,"So với hạt nhân hạt nhân thì hạt nhân , có nhiều hơn",44 neutron và 21 proton.,23 neutron và 21 proton.,44 neutron và 23 proton.,23 neutron và 23 proton.,"Đáp án: 
Nhận xét tổng quan về thành phần năng lực"
16,Năng lượng liên kết riêng của hạt nhân có giá trị,lớn nhất đối với các hạt nhân nhẹ.,lớn nhất đối với các hạt nhân nặng.,lớn nhất đối với các hạt nhân trung bình.,như nhau với mọi hạt nhân.,"Đáp án: 
"
17,"Chiếu 3 chùm tia thu được từ quá trình phóng xạ hạt nhân lần lượt qua tấm giấy, nhôm và chì như Hình . Các tia 1, tia 2, tia 3 theo thứ tự lần lượt là:","tia , tia , tia .","tia , tia , tia .","tia , tia , tia .","tia , tia , tia .","Đáp án: 
"
18,"Một ống dây hình trụ dài gồm 1000 vòng dây, diện tích mỗi vòng dây . Ống dây có điện trở , hai đầu nối đoản mạch và được đặt trong từ trường đều có vectơ cảm ứng từ song song với trục của ống dây và có độ lớn tăng đều  Công suất tỏa nhiệt của ống dây là",,,,,"Đáp án: 
4.MA TRẬN NỘI DUNG, NĂNG LỰC VÀ CẤP ĐỘ TƯ DUY CỦA ĐỀ THAM KHẢO
MÔN: VẬT LÍ"
1,"Một trong những bệnh nghề nghiệp của thợ lặn có tỉ lệ gây tử vong và mất sức lao động cao là bệnh giảm áp. Nếu một thợ lặn từ độ sâu 25 m nổi lên mặt nước quá nhanh, Nitơ không vận chuyển kịp đến phổi giải phóng ra ngoài sẽ tích lại trong cơ thể hình thành các bọt khí gây nguy hiểm. Trong các khẳng định sau đây, câu nào đúng, sai. Giả sử sự chênh lệch nhiệt độ là không đáng kể. Cho biết khối lượng riêng của nước là",,,,,"Đáp án: 
Hướng dẫn
Tổng chiều dài của các phân tử Oxi là"
2,"Quan sát mô hình loa điện động được mô tả như hình
a. Khi cho dòng điện không đổi vào hai điểm nối tín hiệu thì loa chỉ phát ra âm với tần số không đổi
b. Loa hoạt động dựa trên hiện tượng cảm ứng điện từ.
c. Khi có dòng điện chạy qua cuộn dây thì nam châm vĩnh cửu sẽ dao động làm cho màng loa dao động với tần số âm.
d. Nếu nối hai điểm nối tín hiệu vào loa với điện áp biểu diễn như Hình thì tần số âm loa phát ra là 13333 Hz.",,,,,"Đáp án: 
Giải
Thông tin sau đây được dùng cho Câu 3 và Câu 4. Một electron chuyển động trong từ trường  T chỉ do tác dụng của lực từ, theo một đường tròn có bán kính 0,91 m. Biết lực từ tác dụng lên electron có độ lớn là và"
3,"Một khối khí đựng trong xilanh có pít-tông. Đốt nóng xilanh trong thời gian đủ dài (trong quá trình đốt pít-tông không dịch chuyển).
a. Nhiệt độ khối khí tăng lên.
b. Nội năng của khối khí giảm.
c. Động năng trung bình của phân tử khí tăng.
d. Áp suất khối khí không đổi.",,,,,"Đáp án: 
"
4,"Uranium  có chu kì bán rã là  năm. Khi phóng xạ  Uranium biến thành Thorium  Ban đầu có  Uranium.
a. Hạt nhân Thorium  bền hơn hạt nhân Uranium
b. Khối lượng Uranium còn lại sau  năm là
c. Số hạt nhân Uranium còn lại sau  năm là 3,7265.1021 hạt nhân.
d. Tỉ số giữa số hạt nhân Uranium còn lại và số hạt nhân Thorium tạo thành sau năm là",,,,,"Đáp án: 
a. Phát biểu này đúng.
b. Phát biểu này đúng.
c. Phát biểu này sai.
Số hạt nhân Uranium ban đầu:
hạt.
Số hạt nhân Uranium còn lại sau  năm:
hạt.
d. Phát biểu này đúng.
Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó
Suy ra
PHẦN III. Thí sinh trả lời từ câu 1 đến câu viết đáp số theo quy định viết số chữ số"
1,"Một khí cầu chứa khí oxygen có thể tích là 22.4 l ở điều kiện tiêu chuẩn (0°C và 1 atm). Biết bán kính của Trái Đất là 6400 km, bán kính của phân tử oxygen là m, và . Nếu xếp tất cả các phân tử oxygen trong khí cầu thành một chuỗi dọc theo xích đạo của Trái Đất, thì chuỗi đó sẽ bao quanh Trái Đất được x.106 lần.  Tìm x (kết quả làm tròn đến 4 chữ số có nghĩa)",,,,,"Đáp án: 
Hướng dẫn
Tổng chiều dài của các phân tử Oxi là"
2,"Một thợ hàn dùng bình có thể tích 0,075m3  đổ đầy oxy-gen (khối lượng mol 32 g/mol) ở áp suất đo được là 4,01.105 Pa và nhiệt độ . Bình chứa có 1 kẽ hở nhỏ, theo thời gian một phần oxy sẽ rò rỉ ra ngoài. Vào một ngày khi nhiệt độ là , áp suất đo của oxy trong bình là 2,81.105Pa . Khối lượng oxy thoát ra ngoài là bao nhiêu gam
Thông tin sau đây được dùng cho Câu 3 và Câu 4. Một electron chuyển động trong từ trường  T chỉ do tác dụng của lực từ, theo một đường tròn có bán kính 0,91 m. Biết lực từ tác dụng lên electron có độ lớn là và",,,,,"Đáp án: 
Giải
Thông tin sau đây được dùng cho Câu 3 và Câu 4. Một electron chuyển động trong từ trường  T chỉ do tác dụng của lực từ, theo một đường tròn có bán kính 0,91 m. Biết lực từ tác dụng lên electron có độ lớn là và"
3,Một học sinh tính tốc độ của electron và được kết quả là  m/s. Tìm .,,,,,"Đáp án: 
"
4,"Thời gian để  chuyển động được một vòng là . Tìm (viết kết quả đến hai chữ số sau dấu phẩy thập phân).
Dùng thông tin sau cho Câu 5 và Câu 6:  Một nhà máy điện hạt nhân có công suất phát điện 182.107 W, dùng năng lượng phân hạch của hạt nhân với hiệu suất 30%. Trung bình mỗi hạt phân hạch tỏa ra năng lượng 200 MeV. Xét trong 365 ngày hoạt động.",,,,,"Đáp án: 
a. Phát biểu này đúng.
b. Phát biểu này đúng.
c. Phát biểu này sai.
Số hạt nhân Uranium ban đầu:
hạt.
Số hạt nhân Uranium còn lại sau  năm:
hạt.
d. Phát biểu này đúng.
Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó
Suy ra
PHẦN III. Thí sinh trả lời từ câu 1 đến câu viết đáp số theo quy định viết số chữ số"
5,Năng lượng phân hạch cần để chuyển hóa thành điện năng là  x.1017 J. Giá trị của x là bao nhiêu? (Kết quả làm tròn đến 3 chữ số có nghĩa).,,,,,"Đáp án: 
A = (182.107.365.3600).0,3 1,91.1017 J"
